;date;time;consumption (w);generation (w);temperature (˚C);humidity (%);radiation (Wm^2);isoweekday;period_of_day
0;2019-01-01;00:05:00;2985;0;8.7;76.0;0.0;2;1
1;2019-01-01;00:10:00;2258;0;8.6;76.0;0.0;2;1
2;2019-01-01;00:15:00;2266;0;8.7;76.0;0.0;2;1
3;2019-01-01;00:20:00;3016;0;8.7;76.0;0.0;2;1
4;2019-01-01;00:25:00;2265;0;8.6;76.0;0.0;2;1
5;2019-01-01;00:30:00;2253;0;8.3;76.0;0.0;2;1
6;2019-01-01;00:35:00;2598;0;8.3;78.0;0.0;2;1
7;2019-01-01;00:40:00;2617;0;8.3;78.0;0.0;2;1
8;2019-01-01;00:45:00;2249;0;8.1;78.0;0.0;2;1
9;2019-01-01;00:50:00;2253;0;8.1;79.0;0.0;2;1
10;2019-01-01;00:55:00;2961;0;8.2;79.0;0.0;2;1
11;2019-01-01;01:00:00;2251;0;8.2;78.0;0.0;2;1
12;2019-01-01;01:05:00;2258;0;8.2;78.0;0.0;2;1
13;2019-01-01;01:10:00;2893;0;8.1;78.0;0.0;2;1
14;2019-01-01;01:15:00;2250;0;7.9;78.0;0.0;2;1
15;2019-01-01;01:20:00;2229;0;7.8;78.0;0.0;2;1
16;2019-01-01;01:25:00;2960;0;7.8;79.0;0.0;2;1
17;2019-01-01;01:30:00;2315;0;7.6;79.0;0.0;2;1
18;2019-01-01;01:35:00;2252;0;7.6;80.0;0.0;2;1
19;2019-01-01;01:40:00;2244;0;7.6;80.0;0.0;2;1
20;2019-01-01;01:45:00;2942;0;7.4;80.0;0.0;2;1
21;2019-01-01;01:50:00;2245;0;7.4;81.0;0.0;2;1
22;2019-01-01;01:55:00;2246;0;7.5;81.0;0.0;2;1
23;2019-01-01;02:00:00;2945;0;7.4;81.0;0.0;2;1
24;2019-01-01;02:05:00;2243;0;7.4;81.0;0.0;2;1
25;2019-01-01;02:10:00;2236;0;7.5;81.0;0.0;2;1
26;2019-01-01;02:15:00;2445;0;7.4;81.0;0.0;2;1
27;2019-01-01;02:20:00;2668;0;7.3;81.0;0.0;2;1
28;2019-01-01;02:25:00;2243;0;7.1;81.0;0.0;2;1
29;2019-01-01;02:30:00;2237;0;6.9;82.0;0.0;2;1
30;2019-01-01;02:35:00;2955;0;6.9;82.0;0.0;2;1
31;2019-01-01;02:40:00;2250;0;6.8;82.0;0.0;2;1
32;2019-01-01;02:45:00;2251;0;6.8;82.0;0.0;2;1
